"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"J8RW4FJA","book","2019","Frank, Hannah; Morgan, Daniel; Gunning, Tom","Frame by frame: a materialist aesthetics of animated cartoons","","978-0-520-30362-1","","","","""This book examines the visual aesthetics of popular American animated cartoons. For most of the twentieth century, the making of cartoons was mechanized and standardized: thousands of drawings were inked and painted onto individual transparent celluloid sheets (called 'cels') and then photographed in succession, a labor-intensive process that was divided across scores of artists and technicians. In order to understand the art, labor, and technology of cel animation, this book analyzes cartoons frame by frame to expose hitherto unseen qualities of the image. What emerges is both a method and an original account of an art formed on the assembly line""--Provided by publisher","2019","2025-03-21 18:54:13","2025-03-21 19:14:02","","","222","","","","","Frame by frame","","","","","University of California Press","Oakland, California","","","","","","Library Catalog (Blacklight)","NC1765 .F65 2019","OCLC: 1054835275","","","https://catalog.libraries.psu.edu/catalog/25374641","Physical","Aesthetics; Animated films; Criticism, interpretation, etc; History and criticism; Motion pictures","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HRBD2SKX","book","2013","Hart, Christopher","Modern cartooning: essential techniques for drawing today's popular cartoons","","978-0-8230-0714-1","","","","","2013","2025-03-21 18:59:50","2025-03-24 19:04:29","","","159","","","","","Modern cartooning","","","","","Watson-Guptill Publications","New York","","","","","","Library Catalog (Blacklight)","NC1764 .H377 2013","OCLC: 833620933","","","https://catalog.libraries.psu.edu/catalog/9615275","Physical; Web","Cartoon characters; Cartooning; Technique","","","","","","","","","","","","","","","","","","","","First Edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TJDSJFVW","book","2012","Heller, Steven","Comics sketchbooks: the private world of today's most creative talents","","978-0-500-28994-5","","","","","2012","2025-03-21 19:00:34","2025-03-21 19:13:49","","","352","","","","","Comics sketchbooks","","","","","Thames & Hudson","London","","","","","","Library Catalog (Blacklight)","NC1764 .H455 2012","OCLC: 808516446","","","https://catalog.libraries.psu.edu/catalog/9145344","Physical","Technique; Cartoonists; Comic books, strips, etc","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WMIR8Q24","book","2009","Williams, Freddie E.; Bolland, Brian","The DC comics guide to digitally drawing comics","","978-0-8230-9923-8","","","","""Creating comic book art digitally gives you unlimited versatility and control over your work, undreamed of in previous decades. Freddie E. Williams II has been working digitally for years on some of the top characters and titles from DC Comics. Now, he shares the techniques he's developed for producing digital comics art all the way from roughs to links. You'll learn how to set up your own digital workspace and create reusable page templates and valuable reference libraries--and you'll begin mastering all of the amazing palettes and tools that Adobe Photoshop offers. If you still want to do your pencils or inks by hand, Williams even shows how you can save time and effort by incorporating those traditional methods into a digital workflow"" --Cover, p. 4","2009","2025-03-21 19:01:13","2025-03-21 19:15:15","","","144","","","","","","","","","","Watson-Guptill Publications","New York","","","","","","Library Catalog (Blacklight)","NC1764 .W55 2009","","","","https://catalog.libraries.psu.edu/catalog/6680830","Physical","Cartooning; Technique; Comic books, strips, etc; Adobe Photoshop; Color computer graphics; Drawing","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6FDIVMVC","book","2003","Beckerman, Howard","Animation: the whole story","","978-1-58115-301-9","","","","","2003","2025-03-21 19:02:11","2025-03-24 19:06:40","","","309","","","","","Animation","","","","","Allworth Press","New York","","","","","","Library Catalog (Blacklight)","NC1765 .B37 2003","OCLC: 52783139","","","https://catalog.libraries.psu.edu/catalog/2784269","Physical; Web","Animated films; Animation (Cinematography); History","","","","","","","","","","","","","","","","","","","","Rev. ed","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DG38FQ4U","book","2013","Beiman, Nancy","Prepare to board! creating story and characters for animated features and shorts","","978-0-240-81878-8","","","","","2013","2025-03-21 19:02:34","2025-03-24 19:05:28","","","345","","","","","","","","","","Focal Press","Burlington, MA","","","","","","Library Catalog (Blacklight)","NC1765 .B38 2013","OCLC: 779740447","","","https://catalog.libraries.psu.edu/catalog/9172954","Physical; Web","Animated films; Cartoon characters; Animation (Cinematography); Authorship","","","","","","","","","","","","","","","","","","","","Second Edition","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WP3WK7HZ","book","2017","Furniss, Maureen","Animation: the global history","","978-0-500-25217-8","","","","The book emphasizes both artistic and technical achievements from around the world ? from Hollywood to Tokyo, from Moscow to Sydney. Featuring a timeline for each of its six parts, ?Animation: The Global History? provides readers with a clear and accessible chronology of events. A ""Global Storyline"", highlighting the major themes of the era, opens each chapter, and an end-of-book glossary defines key terms used throughout the book.0","2017","2025-03-21 19:03:10","2025-03-21 19:12:46","","","464","","","","","Animation","","","","","Thames & Hudson","London","","","","","","Library Catalog (Blacklight)","NC1765 .F865 2017","OCLC: 961005035","","","https://catalog.libraries.psu.edu/catalog/20048980","Physical","Animation (Cinematography); Animated film industry","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6RUVJVZA","book","2017","Arnold, Gordon B.","Animation and the American imagination: a brief history","","978-1-4408-3359-5","","","","""Providing a detailed historical overview of animated film and television in the United States over more than a century, this book examines animation within the U.S. film and television industry as well as in the broader sociocultural context. ... This book takes a fresh look at the big picture of U.S. animation, both on and behind the screen. It reveals a range of fascinating animated cartoons and the colorful personalities, technological innovations, cultural influences and political agendas, and shifting audience expectations that shaped not only what appeared on screen but also how audiences reacted to thousands of productions. ... The book emphasizes the overall shape of animation history by identifying how key developments emerged from what came before and from the culture at large. It covers the major persons and studios of the various eras; identifies important social factors, including the Great Depression, World War II, the counterculture of the 1960s and 1970s, and the struggles for civil rights and women's rights; addresses the critical role of technological and aesthetic changes; and discusses major works of animation and the responses to them.""--Publisher's Web site","2017","2025-03-21 19:04:45","2025-03-21 19:12:13","","","282","","","","","Animation and the American imagination","","","","","Praeger","Santa Barbara, California","","","","","","Library Catalog (Blacklight)","NC1766.U5 A76 2017","OCLC: 952980469","","","https://catalog.libraries.psu.edu/catalog/22083071","Physical","Animated films; History; Animationsfilm; Social aspects; United States; USA","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BHCT2UJB","book","2008","","KRAZY! the delirious world of anime + comics + video games + art","","978-1-55365-354-7 978-0-520-25784-9","","","","","2008","2025-03-21 19:07:21","2025-03-24 19:06:03","","","275","","","","","","","","","","Douglas & McIntyre ; University of California Press ; Vancouver Art Gallery","Vancouver, B.C. : Berkeley, Calif. : Vancouver, B.C","","","","","","Library Catalog (Blacklight)","NC1765 .K73 2008","","","","https://catalog.libraries.psu.edu/catalog/4594946","Physical; Web","Animated films; Comic books, strips, etc; Exhibitions; Video games","Johnson, Tim; Wright, Will; Grenville, Bruce; Vancouver Art Gallery","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3P3QVRQT","book","2001","Clements, Jonathan; McCarthy, Helen","The anime encyclopedia: a guide to Japanese animation since 1917","","978-1-880656-64-8","","","","","2001","2025-03-21 19:09:08","2025-03-21 19:15:02","","","545","","","","","The anime encyclopedia","","","","","Stone Bridge Press","Berkeley, Calif","","","","","","Library Catalog (Blacklight)","NC1766.J3 C53 2001","","","","https://catalog.libraries.psu.edu/catalog/2268569","Physical","Animated films; Encyclopedias; Japan","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
